scenario,epochs,method,seed,position,dateIndex,dateColumn
baseline_248,248,baseline,,126,126,D20210512
baseline_248,248,baseline,,127,127,D20210524
baseline_248,248,baseline,,128,128,D20210605
baseline_248,248,baseline,,129,129,D20210617
baseline_248,248,baseline,,130,130,D20210629
baseline_248,248,baseline,,131,131,D20210711
baseline_248,248,baseline,,132,132,D20210723
baseline_248,248,baseline,,133,133,D20210804
baseline_248,248,baseline,,134,134,D20210816
baseline_248,248,baseline,,135,135,D20210828
baseline_248,248,baseline,,136,136,D20210909
baseline_248,248,baseline,,137,137,D20210921
baseline_248,248,baseline,,138,138,D20211003
baseline_248,248,baseline,,139,139,D20211015
baseline_248,248,baseline,,140,140,D20211027
baseline_248,248,baseline,,141,141,D20211108
baseline_248,248,baseline,,142,142,D20211120
baseline_248,248,baseline,,143,143,D20211202
baseline_248,248,baseline,,144,144,D20211214
baseline_248,248,baseline,,145,145,D20211226
baseline_248,248,baseline,,146,146,D20220107
baseline_248,248,baseline,,147,147,D20220119
baseline_248,248,baseline,,148,148,D20220131
baseline_248,248,baseline,,149,149,D20220212
baseline_248,248,baseline,,150,150,D20220224
baseline_248,248,baseline,,151,151,D20220308
baseline_248,248,baseline,,152,152,D20220320
baseline_248,248,baseline,,153,153,D20220401
baseline_248,248,baseline,,154,154,D20220413
baseline_248,248,baseline,,155,155,D20220425
baseline_248,248,baseline,,156,156,D20220507
baseline_248,248,baseline,,157,157,D20220519
baseline_248,248,baseline,,158,158,D20220531
baseline_248,248,baseline,,159,159,D20220612
baseline_248,248,baseline,,160,160,D20220624
baseline_248,248,baseline,,161,161,D20220706
baseline_248,248,baseline,,162,162,D20220718
baseline_248,248,baseline,,163,163,D20220730
baseline_248,248,baseline,,164,164,D20220811
baseline_248,248,baseline,,165,165,D20220823
baseline_248,248,baseline,,166,166,D20220904
baseline_248,248,baseline,,167,167,D20220916
baseline_248,248,baseline,,168,168,D20220928
baseline_248,248,baseline,,169,169,D20221010
baseline_248,248,baseline,,170,170,D20221022
baseline_248,248,baseline,,171,171,D20221103
baseline_248,248,baseline,,172,172,D20221115
baseline_248,248,baseline,,173,173,D20221127
baseline_248,248,baseline,,174,174,D20221209
baseline_248,248,baseline,,175,175,D20221221
baseline_248,248,baseline,,176,176,D20230102
baseline_248,248,baseline,,177,177,D20230114
baseline_248,248,baseline,,178,178,D20230126
baseline_248,248,baseline,,179,179,D20230207
baseline_248,248,baseline,,180,180,D20230219
baseline_248,248,baseline,,181,181,D20230303
baseline_248,248,baseline,,182,182,D20230315
baseline_248,248,baseline,,183,183,D20230327
baseline_248,248,baseline,,184,184,D20230408
baseline_248,248,baseline,,185,185,D20230420
baseline_248,248,baseline,,186,186,D20230502
baseline_248,248,baseline,,187,187,D20230514
baseline_248,248,baseline,,188,188,D20230526
baseline_248,248,baseline,,189,189,D20230607
baseline_248,248,baseline,,190,190,D20230619
baseline_248,248,baseline,,191,191,D20230701
baseline_248,248,baseline,,192,192,D20230713
baseline_248,248,baseline,,193,193,D20230725
baseline_248,248,baseline,,194,194,D20230806
baseline_248,248,baseline,,195,195,D20230818
baseline_248,248,baseline,,196,196,D20230830
baseline_248,248,baseline,,197,197,D20230911
