evaluatedRows,failureCount,accuracy,macroF1,rawAccuracy,rawMacroF1,predictionAgreement,confidenceShift,confidenceAbsoluteShift,meanConfidence,rawMeanConfidence,calibrationChangeRate,scenario,epochs,method,seed,meanSpatialReliability,meanSpatialGate
523,0,0.9273422562141491,0.9263910521522205,0.9235181644359465,0.9226344170657538,1.0,0.0,0.0,0.9414504766464233,0.9424238204956055,0.0038240917782026767,baseline_248,248,baseline,,0.5998950600624084,0.31707215309143066
523,0,0.9254302103250478,0.924455143377196,0.9292543021032504,0.9283838888689447,0.994263862332696,0.0008293837308883667,0.007177228108048439,0.9422797560691833,0.943099856376648,0.0076481835564053535,uniform_160,160,uniform,20276824.0,0.5995557904243469,0.31696268916130066
523,0,0.9273422562141491,0.9263393994308844,0.9254302103250478,0.9244689729577198,0.9961759082217974,0.0002289683325216174,0.0081098061054945,0.9416794180870056,0.942578136920929,0.0057361376673040155,random_missing_160,160,random_missing,20276825.0,0.5991780161857605,0.31678181886672974
523,0,0.8374760994263862,0.8331860036124596,0.8451242829827916,0.8411232595015085,0.847036328871893,-0.02258673869073391,0.07433118671178818,0.9188636541366577,0.9195709228515625,0.011472275334608031,continuous_gap_160,160,continuous_gap,20276826.0,0.5942668914794922,0.3141460716724396
523,0,0.9235181644359465,0.9226133038791041,0.9273422562141491,0.9264429304609413,0.9923518164435946,-0.0008152209338732064,0.005347674246877432,0.9406352043151855,0.9414088129997253,0.0038240917782026767,front_dense_back_sparse_160,160,front_dense_back_sparse,20276827.0,0.5995044112205505,0.3169746398925781
523,0,0.9235181644359465,0.9225625988877898,0.9235181644359465,0.922589092794596,0.994263862332696,0.0014472051989287138,0.009621437638998032,0.942897617816925,0.9438232779502869,0.0038240917782026767,front_sparse_back_dense_160,160,front_sparse_back_dense,20276828.0,0.5991132855415344,0.31681114435195923
523,0,0.9235181644359465,0.9224842331266911,0.9273422562141491,0.926423519684688,0.9923518164435946,0.0008580818539485335,0.008950124494731426,0.9423084855079651,0.942908763885498,0.0038240917782026767,uniform_120,120,uniform,20272824.0,0.5993567109107971,0.31681808829307556
523,0,0.9292543021032504,0.9285832337206367,0.9311663479923518,0.930416976783809,0.982791586998088,9.779236279428005e-05,0.01221426296979189,0.941548228263855,0.9418507814407349,0.0057361376673040155,random_missing_120,120,random_missing,20272825.0,0.5989726781845093,0.31693339347839355
523,0,0.7667304015296367,0.7425268311803664,0.7743785850860421,0.750067044701463,0.780114722753346,-0.030747028067708015,0.08726747334003448,0.9107034206390381,0.9148969054222107,0.0076481835564053535,continuous_gap_120,120,continuous_gap,20272826.0,0.5905774235725403,0.3031809329986572
523,0,0.9216061185468452,0.9207188745823145,0.9235181644359465,0.9226179809612809,0.994263862332696,-0.00023838074412196875,0.008603791706264019,0.9412120580673218,0.9423084855079651,0.0057361376673040155,front_dense_back_sparse_120,120,front_dense_back_sparse,20272827.0,0.5992480516433716,0.31701362133026123
