classId,precision,recall,f1,support,rawPrecision,rawRecall,rawF1,scenario,epochs,method,className
0,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,baseline_248,248,baseline,Stable
1,0.9540229885057471,0.9325842696629213,0.9431818181818182,89,0.9540229885057471,0.9325842696629213,0.9431818181818182,baseline_248,248,baseline,Linear
2,0.9012345679012346,0.8588235294117647,0.8795180722891566,85,0.9012345679012346,0.8588235294117647,0.8795180722891566,baseline_248,248,baseline,Piecewise
3,0.9555555555555556,0.9662921348314607,0.9608938547486034,89,0.9550561797752809,0.9550561797752809,0.9550561797752809,baseline_248,248,baseline,Decelerating
4,0.9080459770114943,0.8977272727272727,0.9028571428571429,88,0.9069767441860465,0.8863636363636364,0.896551724137931,baseline_248,248,baseline,Accelerating
5,0.8636363636363636,0.926829268292683,0.8941176470588236,82,0.8444444444444444,0.926829268292683,0.8837209302325582,baseline_248,248,baseline,Undefined
0,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,uniform_160,160,uniform,Stable
1,0.9534883720930233,0.9213483146067416,0.9371428571428573,89,0.9540229885057471,0.9325842696629213,0.9431818181818182,uniform_160,160,uniform,Linear
2,0.8902439024390244,0.8588235294117647,0.874251497005988,85,0.9240506329113924,0.8588235294117647,0.8902439024390243,uniform_160,160,uniform,Piecewise
3,0.9555555555555556,0.9662921348314607,0.9608938547486034,89,0.9555555555555556,0.9662921348314607,0.9608938547486034,uniform_160,160,uniform,Decelerating
4,0.9090909090909091,0.9090909090909091,0.9090909090909091,88,0.9080459770114943,0.8977272727272727,0.9028571428571429,uniform_160,160,uniform,Accelerating
5,0.8620689655172413,0.9146341463414634,0.8875739644970414,82,0.8555555555555555,0.9390243902439024,0.8953488372093023,uniform_160,160,uniform,Undefined
0,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,random_missing_160,160,random_missing,Stable
1,0.9540229885057471,0.9325842696629213,0.9431818181818182,89,0.9431818181818182,0.9325842696629213,0.9378531073446328,random_missing_160,160,random_missing,Linear
2,0.9012345679012346,0.8588235294117647,0.8795180722891566,85,0.9125,0.8588235294117647,0.8848484848484848,random_missing_160,160,random_missing,Piecewise
3,0.9555555555555556,0.9662921348314607,0.9608938547486034,89,0.9555555555555556,0.9662921348314607,0.9608938547486034,random_missing_160,160,random_missing,Decelerating
4,0.9090909090909091,0.9090909090909091,0.9090909090909091,88,0.9069767441860465,0.8863636363636364,0.896551724137931,random_missing_160,160,random_missing,Accelerating
5,0.8620689655172413,0.9146341463414634,0.8875739644970414,82,0.8539325842696629,0.926829268292683,0.888888888888889,random_missing_160,160,random_missing,Undefined
0,0.9886363636363636,0.9666666666666667,0.9775280898876404,90,0.9886363636363636,0.9666666666666667,0.9775280898876404,continuous_gap_160,160,continuous_gap,Stable
1,0.8367346938775511,0.9213483146067416,0.877005347593583,89,0.8316831683168316,0.9438202247191011,0.8842105263157894,continuous_gap_160,160,continuous_gap,Linear
2,0.6781609195402298,0.6941176470588235,0.6860465116279069,85,0.7023809523809523,0.6941176470588235,0.6982248520710058,continuous_gap_160,160,continuous_gap,Piecewise
3,0.845360824742268,0.9213483146067416,0.8817204301075268,89,0.845360824742268,0.9213483146067416,0.8817204301075268,continuous_gap_160,160,continuous_gap,Decelerating
4,0.8131868131868132,0.8409090909090909,0.8268156424581005,88,0.8295454545454546,0.8295454545454546,0.8295454545454547,continuous_gap_160,160,continuous_gap,Accelerating
5,0.8709677419354839,0.6585365853658537,0.75,82,0.8769230769230769,0.6951219512195121,0.7755102040816327,continuous_gap_160,160,continuous_gap,Undefined
0,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,front_dense_back_sparse_160,160,front_dense_back_sparse,Stable
1,0.9534883720930233,0.9213483146067416,0.9371428571428573,89,0.9540229885057471,0.9325842696629213,0.9431818181818182,front_dense_back_sparse_160,160,front_dense_back_sparse,Linear
2,0.8809523809523809,0.8705882352941177,0.8757396449704142,85,0.891566265060241,0.8705882352941177,0.880952380952381,front_dense_back_sparse_160,160,front_dense_back_sparse,Piecewise
3,0.9555555555555556,0.9662921348314607,0.9608938547486034,89,0.9555555555555556,0.9662921348314607,0.9608938547486034,front_dense_back_sparse_160,160,front_dense_back_sparse,Decelerating
4,0.9069767441860465,0.8863636363636364,0.896551724137931,88,0.9176470588235294,0.8863636363636364,0.9017341040462428,front_dense_back_sparse_160,160,front_dense_back_sparse,Accelerating
5,0.8620689655172413,0.9146341463414634,0.8875739644970414,82,0.8636363636363636,0.926829268292683,0.8941176470588236,front_dense_back_sparse_160,160,front_dense_back_sparse,Undefined
0,0.967032967032967,0.9777777777777777,0.9723756906077348,90,0.967032967032967,0.9777777777777777,0.9723756906077348,front_sparse_back_dense_160,160,front_sparse_back_dense,Stable
1,0.9540229885057471,0.9325842696629213,0.9431818181818182,89,0.9540229885057471,0.9325842696629213,0.9431818181818182,front_sparse_back_dense_160,160,front_sparse_back_dense,Linear
2,0.8795180722891566,0.8588235294117647,0.8690476190476191,85,0.8902439024390244,0.8588235294117647,0.874251497005988,front_sparse_back_dense_160,160,front_sparse_back_dense,Piecewise
3,0.9550561797752809,0.9550561797752809,0.9550561797752809,89,0.9550561797752809,0.9550561797752809,0.9550561797752809,front_sparse_back_dense_160,160,front_sparse_back_dense,Decelerating
4,0.9080459770114943,0.8977272727272727,0.9028571428571429,88,0.9069767441860465,0.8863636363636364,0.896551724137931,front_sparse_back_dense_160,160,front_sparse_back_dense,Accelerating
5,0.872093023255814,0.9146341463414634,0.8928571428571429,82,0.8636363636363636,0.926829268292683,0.8941176470588236,front_sparse_back_dense_160,160,front_sparse_back_dense,Undefined
0,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,uniform_120,120,uniform,Stable
1,0.9534883720930233,0.9213483146067416,0.9371428571428573,89,0.9534883720930233,0.9213483146067416,0.9371428571428573,uniform_120,120,uniform,Linear
2,0.8795180722891566,0.8588235294117647,0.8690476190476191,85,0.9012345679012346,0.8588235294117647,0.8795180722891566,uniform_120,120,uniform,Piecewise
3,0.9555555555555556,0.9662921348314607,0.9608938547486034,89,0.9555555555555556,0.9662921348314607,0.9608938547486034,uniform_120,120,uniform,Decelerating
4,0.9090909090909091,0.9090909090909091,0.9090909090909091,88,0.9090909090909091,0.9090909090909091,0.9090909090909091,uniform_120,120,uniform,Accelerating
5,0.8604651162790697,0.9024390243902439,0.8809523809523809,82,0.8636363636363636,0.926829268292683,0.8941176470588236,uniform_120,120,uniform,Undefined
0,0.9887640449438202,0.9777777777777777,0.9832402234636872,90,0.9887640449438202,0.9777777777777777,0.9832402234636872,random_missing_120,120,random_missing,Stable
1,0.9529411764705882,0.9101123595505618,0.9310344827586207,89,0.9534883720930233,0.9213483146067416,0.9371428571428573,random_missing_120,120,random_missing,Linear
2,0.8823529411764706,0.8823529411764706,0.8823529411764706,85,0.891566265060241,0.8705882352941177,0.880952380952381,random_missing_120,120,random_missing,Piecewise
3,0.9550561797752809,0.9550561797752809,0.9550561797752809,89,0.9550561797752809,0.9550561797752809,0.9550561797752809,random_missing_120,120,random_missing,Decelerating
4,0.9010989010989011,0.9318181818181818,0.9162011173184357,88,0.9111111111111111,0.9318181818181818,0.9213483146067416,random_missing_120,120,random_missing,Accelerating
